,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
247,247,455,168,21,3357,3698,10
248,248,224,191,20,119,649,10
249,249,439,156,2,1843,2484,10
250,250,434,359,13,5577,5681,10
251,251,118,314,26,1220,1601,10
252,252,234,246,10,214,423,10
253,253,406,450,20,922,1272,10
254,254,75,118,21,1560,1832,10
255,255,115,395,11,3188,3454,10
256,256,329,456,19,972,1141,10
257,257,218,403,15,5149,5525,10
258,258,149,341,6,1433,1919,10
259,259,253,74,20,5165,5755,10
260,260,436,241,20,1293,1445,10
261,261,238,203,10,148,722,10
262,262,405,455,40,1251,1595,10
263,263,485,27,10,1772,1916,10
264,264,323,118,20,497,910,10
265,265,330,371,1,2104,2484,10
266,266,25,65,10,1344,1787,10
267,267,406,96,20,875,972,10
268,268,49,451,20,1063,1296,10
269,269,307,249,10,5462,5670,10
270,270,178,135,21,5971,6259,10
271,271,299,353,34,172,740,10
272,272,236,213,20,86,230,10
273,273,355,177,20,454,659,10
274,274,394,23,20,1563,1787,10
275,275,306,235,25,93,371,10
276,276,90,477,18,944,1278,10
277,277,379,486,22,2448,3046,10
278,278,435,16,10,1406,1653,10
279,279,8,497,40,1497,1884,10
280,280,150,484,16,2534,2587,10
281,281,213,399,18,785,1207,10
282,282,391,18,10,1483,1659,10
283,283,111,392,18,4633,4839,10
284,284,330,281,14,5204,5559,10
285,285,344,203,14,682,776,10
286,286,91,235,10,902,1371,10
287,287,346,60,10,1149,1541,10
288,288,483,27,20,1709,2074,10
289,289,382,498,10,889,1705,10
290,290,457,492,7,1907,2277,10
291,291,291,213,23,4758,5424,10
292,292,154,374,36,3537,4078,10
293,293,225,196,10,201,365,10
294,294,94,40,24,4223,4441,10
295,295,0,356,13,4244,4565,10
296,296,297,283,28,5205,5711,10
297,297,371,423,10,750,939,10
298,298,417,217,30,638,991,10
299,299,500,228,8,3013,3361,10
300,300,412,214,10,518,810,10
301,301,442,289,25,696,952,10
302,302,157,269,31,6198,6532,10
303,303,440,241,10,1201,1330,10
304,304,100,266,20,592,700,10
305,305,111,178,18,461,791,10
306,306,91,101,10,1056,1449,10
307,307,25,307,10,905,1210,10
308,308,135,400,20,1104,1404,10
309,309,58,458,10,1093,1610,10
310,310,133,26,10,1259,1354,10
311,311,211,386,20,396,736,10
312,312,94,97,20,754,1078,10
313,313,30,155,9,4973,5391,10
314,314,208,184,20,258,450,10
315,315,394,333,20,598,1076,10
316,316,355,180,30,461,756,10
317,317,241,180,13,6824,6853,10
318,318,21,485,30,1287,1540,10
319,319,80,251,14,1008,1540,10
320,320,476,61,36,1595,2114,10
321,321,406,94,10,748,1194,10
322,322,364,71,5,5202,5706,10
323,323,418,221,10,1138,1311,10
324,324,274,441,12,2570,3106,10
325,325,304,97,20,462,1113,10
326,326,297,102,10,519,819,10
327,327,250,405,20,574,839,10
328,328,111,463,20,1139,1554,10
329,329,408,279,20,782,1097,10
330,330,263,418,25,1106,1242,10
331,331,480,119,7,2306,2842,10
332,332,420,383,27,3879,4096,10
333,333,142,14,18,3107,3695,10
334,334,73,328,20,583,965,10
335,335,50,438,20,1396,1418,10
336,336,441,7,20,1404,1849,10
337,337,462,14,20,1231,2066,10
338,338,360,294,9,5625,5836,10
339,339,58,39,12,4673,4750,10
340,340,58,391,16,3388,3791,10
341,341,410,285,20,730,931,10
342,342,96,97,20,735,1002,10
343,343,21,64,20,1275,1663,10
344,344,238,210,30,142,1049,10
345,345,479,121,10,1140,1442,10
346,346,200,178,20,97,772,10
347,347,216,341,19,2330,3022,10
348,348,48,437,4,3128,3422,10
349,349,200,270,20,144,448,10
350,350,357,181,20,519,796,10
351,351,476,174,30,1340,1374,10
352,352,400,286,10,530,804,10
353,353,351,481,10,1148,1547,10
354,354,270,400,10,530,681,10
355,355,95,234,10,498,928,10
356,356,128,113,22,1346,1675,10
357,357,133,455,25,3054,3530,10
358,358,16,463,20,1523,1596,10
359,359,59,388,20,2556,2866,10
360,360,376,190,30,617,745,10
361,361,481,122,30,1095,1388,10
362,362,266,405,20,808,1049,10
363,363,374,232,33,213,789,10
364,364,398,20,20,866,1406,10
365,365,481,26,30,1189,1385,10
366,366,63,444,20,1393,1766,10
367,367,89,290,20,516,945,10
368,368,246,314,36,5788,5895,10
369,369,40,304,16,4392,4885,10
370,370,262,369,15,388,767,10
371,371,323,29,7,4461,4759,10
372,372,89,65,16,2827,3055,10
373,373,144,35,26,917,1001,10
374,374,200,265,10,666,674,10
375,375,436,264,20,643,849,10
376,376,15,457,20,1102,1606,10
377,377,397,20,20,1086,1274,10
378,378,328,491,21,2517,3030,10
379,379,399,175,13,2861,3234,10
380,380,432,2,20,1782,2071,10
381,381,63,336,20,912,1338,10
382,382,6,296,10,1285,1394,10
383,383,146,376,8,951,1044,10
384,384,295,247,12,5054,5493,10
385,385,235,33,30,5338,5478,10
386,386,233,204,20,164,390,10
387,387,142,360,20,6087,6289,10
388,388,177,156,25,535,923,10
389,389,315,287,30,534,770,10
390,390,452,172,9,2295,2691,10
391,391,263,153,12,1484,1936,10
392,392,493,493,20,3294,3678,10
393,393,320,283,30,389,616,10
394,394,64,5,14,4361,4791,10
395,395,95,235,10,595,651,10
396,396,203,211,20,5103,5469,10
397,397,16,497,20,1509,2017,10
398,398,348,348,23,3555,4043,10
399,399,485,104,21,3106,3369,10
400,400,330,147,28,3126,3782,10
401,401,443,237,20,679,948,10
402,402,316,286,30,451,762,10
403,403,335,46,18,5325,5529,10
404,404,381,495,20,1242,1458,10
405,405,364,173,30,533,1029,10
406,406,267,162,6,5620,6094,10
407,407,214,245,8,36,426,10
408,408,92,234,10,784,1215,10
409,409,347,459,25,1738,2218,10
410,410,30,7,23,4566,5063,10
411,411,120,37,28,2908,3415,10
412,412,397,153,29,3417,3763,10
413,413,210,29,13,4231,4295,10
414,414,87,285,30,998,1051,10
415,415,132,32,18,3058,3338,10
416,416,390,294,20,655,1363,10
417,417,67,451,5,4649,5196,10
418,418,24,68,20,1575,1860,10
419,419,146,439,10,1007,1187,10
420,420,209,212,18,5942,6401,10
421,421,6,292,10,816,1244,10
422,422,18,63,10,1052,1780,10
423,423,149,98,4,4701,4740,10
424,424,91,268,10,850,1227,10
425,425,103,177,28,2428,2704,10
426,426,367,178,20,473,1090,10
427,427,225,269,30,5055,5232,10
428,428,443,246,20,820,1137,10
429,429,306,42,11,1734,2200,10
430,430,374,306,4,3857,4216,10
431,431,413,421,10,1164,1379,10
432,432,470,405,17,3538,3988,10
433,433,33,278,18,5843,6175,10
434,434,149,458,13,4528,4903,10
435,435,257,57,18,4809,5118,10
436,436,272,403,30,630,1008,10
437,437,221,291,9,81,408,10
438,438,1,101,8,4863,5316,10
439,439,332,459,35,1379,1691,10
440,440,220,392,20,889,1293,10
441,441,253,50,27,683,1243,10
442,442,250,441,5,2868,3298,10
443,443,471,484,10,1255,1583,10
444,444,480,152,26,3932,4361,10
445,445,404,83,30,1001,1506,10
446,446,476,94,20,988,1290,10
447,447,458,213,22,4452,4694,10
448,448,215,395,20,980,1076,10
449,449,85,288,20,647,929,10
450,450,179,75,13,2820,3219,10
451,451,228,287,21,43,405,10
452,452,397,18,10,1085,1371,10
453,453,238,204,20,205,753,10
454,454,488,3,3,1459,1865,10
455,455,407,88,10,1194,1521,10
456,456,459,14,20,1007,1595,10
457,457,120,17,30,972,1381,10
458,458,235,316,2,2492,2875,10
459,459,370,382,11,3524,3666,10
460,460,405,454,11,5122,5421,10
461,461,17,458,10,1489,2095,10
462,462,43,135,31,665,1230,10
463,463,318,497,21,3366,3584,10
464,464,199,268,20,123,567,10
465,465,111,467,20,1012,1404,10
466,466,138,438,20,1070,1349,10
467,467,172,314,9,1981,2502,10
468,468,494,468,31,1260,1679,10
469,469,35,303,20,624,1148,10
470,470,341,59,27,3060,3379,10
471,471,423,221,9,964,1222,10
472,472,395,295,20,579,1231,10
473,473,413,417,10,1358,1610,10
474,474,339,60,20,686,1121,10
475,475,277,428,7,1848,2194,10
476,476,176,199,28,187,531,10
477,477,265,240,9,18,385,10
478,478,365,190,22,5646,6293,10
479,479,133,53,20,799,1556,10
480,480,387,488,20,1344,1672,10
481,481,385,295,20,474,664,10
482,482,491,369,28,2712,3245,10
483,483,445,273,20,873,1309,10
484,484,195,273,22,188,288,10
485,485,313,493,20,4659,5005,10
486,486,495,227,20,1164,1707,10
487,487,241,403,10,710,1172,10
488,488,30,72,10,1637,1935,10
489,489,21,487,10,1425,1498,10
490,490,324,99,10,1131,1692,10
491,491,453,318,30,1397,1713,10
492,492,443,272,10,876,1405,10
493,493,447,184,27,1633,1882,10
494,494,366,288,29,2631,2959,10
495,495,440,284,25,3205,3728,10
496,496,13,314,14,864,1206,10
497,497,72,227,25,2173,2457,10
498,498,377,385,6,3392,3657,10
499,499,477,478,20,1452,1807,10
500,500,204,185,20,548,878,10
501,501,226,191,20,293,571,10
502,502,330,138,18,4306,4691,10
503,503,185,434,9,2081,2627,10
504,504,483,22,10,1310,1483,10
505,505,71,282,29,2495,2759,10
506,506,60,5,18,4221,4248,10
507,507,189,402,10,1923,2486,10
508,508,134,211,35,348,736,10
509,509,146,313,22,4647,5036,10
510,510,21,146,21,1992,2023,10
511,511,37,281,17,1817,2249,10
512,512,416,417,20,1211,1653,10
513,513,44,311,27,1521,1858,10
514,514,361,181,20,606,1090,10
515,515,444,242,10,810,1034,10
516,516,444,271,10,860,1225,10
517,517,359,179,20,367,1051,10
518,518,388,334,20,589,795,10
519,519,401,164,13,2503,2587,10
520,520,499,316,18,2325,2769,10
521,521,399,106,20,1095,1439,10
522,522,425,215,10,920,1032,10
523,523,407,98,10,683,1066,10
524,524,406,460,2,2898,2976,10
525,525,88,95,20,999,1284,10
526,526,95,64,4,2951,3296,10
527,527,306,229,10,5066,5616,10
528,528,273,55,20,649,921,10
529,529,384,149,18,4712,4986,10
530,530,122,35,10,916,1165,10
531,531,308,199,14,5998,6188,10
532,532,390,301,10,616,825,10
533,533,300,108,10,497,708,10
534,534,267,400,10,789,1189,10
535,535,8,300,10,1192,1774,10
536,536,105,181,19,5957,6412,10
537,537,398,325,30,805,1181,10
538,538,166,247,1,250,423,10
539,539,140,431,30,621,1154,10
540,540,253,118,19,2215,2283,10
541,541,359,246,18,5557,5946,10
542,542,321,277,10,124,484,10
543,543,168,59,6,1392,1657,10
544,544,406,285,20,683,866,10
545,545,391,334,20,677,891,10
546,546,437,19,15,3802,4429,10
547,547,201,278,13,105,346,10
548,548,435,267,20,1140,1562,10
549,549,245,408,10,717,1033,10
550,550,16,462,10,1282,1924,10
551,551,107,374,8,3662,3772,10
552,552,477,97,10,924,1458,10
553,553,346,57,20,1210,1375,10
554,554,14,459,20,1395,1411,10
555,555,102,6,3,5692,6095,10
556,556,359,287,24,308,612,10
557,557,297,131,25,4556,4888,10
558,558,282,1,18,4122,4337,10
559,559,21,70,15,2853,3437,10
560,560,440,244,10,691,1557,10
561,561,482,104,19,3082,3498,10
562,562,120,261,5,3015,3452,10
563,563,125,29,30,1005,1381,10
564,564,292,32,14,756,1198,10
565,565,262,92,25,2536,2628,10
566,566,68,160,21,4271,4936,10
567,567,405,276,20,941,1053,10
568,568,277,50,10,814,888,10
569,569,32,319,21,1470,1855,10
570,570,344,70,24,4346,4940,10
571,571,481,84,17,1937,2227,10
572,572,21,68,20,1474,1857,10
573,573,441,244,10,1023,1313,10
574,574,57,43,15,3985,4322,10
575,575,1,293,10,1074,1189,10
576,576,481,96,20,1131,1365,10
577,577,471,368,19,1560,1985,10
578,578,236,126,23,209,790,10
579,579,406,99,20,741,1196,10
580,580,303,186,10,5205,5749,10
581,581,225,369,38,340,632,10
582,582,412,453,10,1083,1413,10
583,583,104,349,20,3975,4219,10
584,584,173,182,25,222,599,10
585,585,111,464,10,1076,1529,10
586,586,53,440,10,1173,1532,10
587,587,69,336,20,823,1042,10
588,588,359,182,20,680,1113,10
589,589,13,459,20,1278,1616,10
590,590,244,277,18,4916,5614,10
591,591,484,177,20,938,1195,10
592,592,452,206,31,1745,2313,10
593,593,22,483,30,1075,1533,10
594,594,452,110,14,1171,1671,10
595,595,347,192,18,5705,6320,10
596,596,95,92,20,903,1239,10
597,597,368,311,14,3605,3924,10
598,598,479,387,13,1493,1807,10
599,599,479,169,20,1014,1574,10
600,600,497,266,25,2876,3225,10
601,601,66,336,10,931,1215,10
602,602,376,195,10,572,996,10
603,603,401,281,20,783,1426,10
604,604,441,177,23,4041,4088,10
605,605,231,203,20,204,448,10
606,606,21,488,10,1300,1710,10
607,607,231,204,20,433,888,10
608,608,122,422,3,5711,6064,10
609,609,65,453,30,991,1382,10
610,610,206,261,10,499,1080,10
611,611,466,149,16,4463,5145,10
612,612,313,119,30,670,1176,10
613,613,90,274,20,597,958,10
614,614,39,162,18,2135,2507,10
615,615,35,306,20,710,1246,10
616,616,437,15,30,1445,1517,10
617,617,307,412,8,1527,1822,10
618,618,79,291,10,745,1046,10
619,619,64,437,11,3560,3905,10
620,620,376,92,10,3735,4310,10
621,621,129,27,10,1248,1253,10
622,622,196,489,23,3997,4365,10
623,623,51,286,14,5589,6202,10
624,624,20,488,10,1293,1806,10
625,625,13,455,10,1082,1524,10
626,626,170,347,15,1755,1852,10
627,627,92,230,20,474,1156,10
628,628,117,467,10,855,1181,10
629,629,413,217,20,603,830,10
630,630,405,450,20,880,1226,10
631,631,394,322,12,3944,4375,10
632,632,125,61,26,2215,2799,10
633,633,238,123,24,2925,3444,10
634,634,11,403,18,1333,1531,10
635,635,89,272,10,679,974,10
636,636,304,102,30,803,891,10
637,637,478,121,40,1267,1403,10
638,638,408,84,10,982,1413,10
639,639,376,494,30,870,1408,10
640,640,20,73,10,1046,1276,10
641,641,159,299,12,3916,4328,10
642,642,95,382,19,639,1331,10
643,643,352,63,6,4556,4990,10
644,644,365,274,14,265,675,10
645,645,30,301,10,1090,1250,10
646,646,351,5,12,1867,2221,10
647,647,197,267,10,429,560,10
648,648,498,171,12,4950,5221,10
649,649,468,352,9,2696,3570,10
650,650,418,251,21,4579,5116,10
651,651,489,437,29,2732,3042,10
652,652,251,63,14,3765,4254,10
653,653,132,55,10,925,1333,10
654,654,281,96,1,4204,4922,10
655,655,333,293,27,2418,2639,10
656,656,255,487,19,1254,2050,10
657,657,207,400,20,716,929,10
658,658,469,489,4,2064,2499,10
659,659,244,254,20,174,749,10
660,660,233,207,10,79,372,10
661,661,441,60,21,5715,6075,10
662,662,411,379,25,4740,4926,10
663,663,178,72,23,2793,3382,10
664,664,51,447,10,1096,1380,10
665,665,478,118,20,1371,1583,10
666,666,141,426,23,1973,2399,10
667,667,295,89,23,2763,3293,10
668,668,112,433,29,879,1121,10
669,669,320,211,16,3857,4204,10
670,670,400,103,10,902,1263,10
671,671,408,453,10,946,1439,10
672,672,435,180,37,752,1164,10
673,673,432,66,30,4321,4369,10
674,674,374,116,9,2292,2525,10
675,675,478,102,10,1099,1615,10
676,676,335,57,30,639,1049,10
677,677,385,239,21,3021,3384,10
678,678,386,245,16,1777,2174,10
679,679,208,396,20,605,927,10
680,680,380,489,20,1546,1606,10
681,681,380,498,10,1089,1410,10
682,682,440,7,20,1208,1422,10
683,683,434,245,10,1359,1494,10
684,684,90,232,10,794,1019,10
685,685,389,334,20,525,947,10
686,686,241,205,30,398,665,10
687,687,18,24,32,2428,2719,10
688,688,57,183,15,4284,4638,10
689,689,59,457,30,1179,1615,10
690,690,442,243,10,933,1495,10
691,691,402,281,20,777,1344,10
692,692,445,237,10,739,985,10
693,693,441,273,20,1082,1297,10
694,694,31,175,24,782,1310,10
695,695,234,202,10,205,552,10
696,696,52,303,25,1549,2100,10
697,697,167,445,7,5566,5850,10
698,698,179,286,8,1396,1453,10
699,699,269,48,20,959,1406,10
700,700,165,59,27,3397,4266,10
701,701,461,8,20,1256,1816,10
702,702,421,415,30,772,1231,10
703,703,59,459,20,1125,1485,10
704,704,24,492,10,1873,1943,10
705,705,55,449,20,874,1355,10
706,706,224,192,10,131,549,10
707,707,444,269,20,680,1309,10
708,708,491,20,20,1528,1740,10
709,709,313,126,10,919,1147,10
710,710,283,438,3,706,1265,10
711,711,352,241,5,3175,3283,10
712,712,398,476,25,1552,1912,10
713,713,442,247,10,893,1156,10
714,714,217,207,26,5550,5629,10
715,715,233,87,18,925,1215,10
716,716,479,127,20,919,1359,10
717,717,6,53,8,2227,2588,10
718,718,478,300,12,3388,3849,10
719,719,378,493,30,983,1392,10
720,720,303,78,12,439,1001,10
721,721,344,62,10,1310,1581,10
722,722,371,315,18,4425,5022,10
723,723,200,78,31,3880,4181,10
724,724,413,391,8,677,1179,10
725,725,415,216,10,546,985,10
726,726,397,57,17,5634,6294,10
727,727,293,228,19,48,480,10
728,728,0,297,10,798,1665,10
729,729,435,20,20,1388,1783,10
730,730,195,111,15,3892,4213,10
731,731,417,218,10,1109,1235,10
732,732,340,54,10,797,1226,10
733,733,132,57,20,780,1296,10
734,734,210,379,12,2398,3393,10
735,735,228,260,12,6312,6653,10
736,736,399,104,10,952,1486,10
737,737,95,277,20,1111,1204,10
738,738,360,284,19,2480,2973,10
739,739,53,466,9,1262,1538,10
740,740,112,465,10,907,1606,10
741,741,313,391,5,630,687,10
742,742,93,235,10,876,1213,10
743,743,125,32,30,827,1369,10
744,744,215,282,21,5485,6158,10
745,745,224,320,36,5043,5347,10
746,746,134,428,20,1014,1570,10
747,747,26,490,10,1705,2214,10
748,748,44,115,24,716,1255,10
749,749,438,127,2,3760,3887,10
750,750,239,15,2,2299,2651,10
751,751,342,54,20,860,1259,10
752,752,109,463,30,1277,1511,10
753,753,199,187,20,363,770,10
754,754,201,188,10,558,672,10
755,755,399,301,30,616,1058,10
756,756,484,171,10,1146,1320,10
757,757,272,234,26,6371,6472,10
758,758,380,350,15,3359,3692,10
759,759,140,108,29,4193,4497,10
760,760,228,199,10,384,810,10
761,761,245,461,8,2449,2866,10
762,762,305,107,20,619,1302,10
763,763,231,195,20,360,634,10
764,764,450,265,10,748,1102,10
765,765,273,149,14,5816,6325,10
766,766,12,358,7,4828,5086,10
767,767,315,121,10,705,1040,10
768,768,420,213,10,646,1102,10
769,769,331,134,11,4423,4687,10
770,770,84,377,10,3552,3978,10
771,771,320,280,10,248,552,10
772,772,89,185,16,2186,2733,10
773,773,472,481,20,1165,1567,10
774,774,422,420,20,845,1376,10
775,775,475,267,7,3093,3264,10
776,776,470,125,20,833,1191,10
777,777,435,268,10,1192,1421,10
778,778,409,155,19,449,1033,10
779,779,243,248,30,7,442,10
780,780,488,96,22,4143,4507,10
781,781,341,72,9,3164,3395,10
782,782,58,449,30,1425,1597,10
783,783,16,460,20,1378,2028,10
784,784,480,136,22,1006,1048,10
785,785,162,388,11,4532,4596,10
786,786,47,208,30,698,1233,10
787,787,324,127,30,293,856,10
788,788,87,96,30,1142,1232,10
789,789,140,137,32,2224,2454,10
790,790,314,205,22,5963,6371,10
791,791,96,346,26,623,979,10
792,792,321,280,30,276,435,10
793,793,245,251,10,5,513,10
794,794,436,295,11,2040,2306,10
795,795,274,261,20,6692,7083,10
